target,location,truth_date,year_week,value,data_source
ARI incidence,BE,2022-05-22,2022-W20,810.7,ERVISS
ARI incidence,BE,2022-05-15,2022-W19,957.8,ERVISS
ARI incidence,BE,2022-05-08,2022-W18,962.4,ERVISS
ARI incidence,BE,2022-05-01,2022-W17,1026.8,ERVISS
ARI incidence,BE,2022-04-24,2022-W16,748.9,ERVISS
ARI incidence,BE,2022-04-17,2022-W15,1144.9,ERVISS
ARI incidence,BE,2022-04-10,2022-W14,1375.6,ERVISS
ARI incidence,BE,2022-04-03,2022-W13,1404.2,ERVISS
ARI incidence,BE,2022-03-27,2022-W12,1349.7,ERVISS
ARI incidence,BE,2022-03-20,2022-W11,1107.2,ERVISS
ARI incidence,BE,2022-03-13,2022-W10,1095.5,ERVISS
ARI incidence,BE,2022-03-06,2022-W09,919.0,ERVISS
ARI incidence,BE,2022-02-27,2022-W08,946.2,ERVISS
ARI incidence,BE,2022-02-20,2022-W07,898.6,ERVISS
ARI incidence,BE,2022-02-13,2022-W06,1010.2,ERVISS
ARI incidence,BE,2022-02-06,2022-W05,1208.6,ERVISS
ARI incidence,BE,2022-01-30,2022-W04,1589.2,ERVISS
ARI incidence,BE,2022-01-23,2022-W03,1384.4,ERVISS
ARI incidence,BE,2022-01-16,2022-W02,1022.7,ERVISS
ARI incidence,BE,2022-01-09,2022-W01,917.6,ERVISS
ARI incidence,BE,2022-01-02,2021-W52,672.5,ERVISS
ARI incidence,BE,2021-12-26,2021-W51,783.7,ERVISS
ARI incidence,BE,2021-12-19,2021-W50,1069.4,ERVISS
ARI incidence,BE,2021-12-12,2021-W49,1121.7,ERVISS
ARI incidence,BE,2021-12-05,2021-W48,1181.6,ERVISS
ARI incidence,BE,2021-11-28,2021-W47,1353.3,ERVISS
ARI incidence,BE,2021-11-21,2021-W46,1407.8,ERVISS
ARI incidence,BE,2021-11-14,2021-W45,1157.8,ERVISS
ARI incidence,BE,2021-11-07,2021-W44,1238.3,ERVISS
ARI incidence,BE,2021-10-31,2021-W43,1462.8,ERVISS
ARI incidence,BE,2021-10-24,2021-W42,1418.0,ERVISS
ARI incidence,BE,2021-10-17,2021-W41,1358.0,ERVISS
ARI incidence,BE,2021-10-10,2021-W40,1104.2,ERVISS
ARI incidence,BE,2021-10-03,2021-W39,988.9,ERVISS
ARI incidence,BE,2021-09-26,2021-W38,982.3,ERVISS
ARI incidence,BE,2021-09-19,2021-W37,880.2,ERVISS
ARI incidence,BE,2021-09-12,2021-W36,766.7,ERVISS
ARI incidence,BE,2021-09-05,2021-W35,436.6,ERVISS
ARI incidence,BE,2021-08-29,2021-W34,351.4,ERVISS
ARI incidence,BE,2021-08-22,2021-W33,418.6,ERVISS
ARI incidence,BE,2021-08-15,2021-W32,421.1,ERVISS
ARI incidence,BE,2021-08-08,2021-W31,415.8,ERVISS
ARI incidence,BE,2021-08-01,2021-W30,416.2,ERVISS
ARI incidence,BE,2021-07-25,2021-W29,368.4,ERVISS
ARI incidence,BE,2021-07-18,2021-W28,382.5,ERVISS
ARI incidence,BE,2021-07-11,2021-W27,406.1,ERVISS
ARI incidence,BE,2021-07-04,2021-W26,434.8,ERVISS
ARI incidence,BE,2021-06-27,2021-W25,487.2,ERVISS
ARI incidence,BG,2025-06-22,2025-W25,326.1,ERVISS
ARI incidence,BG,2025-06-15,2025-W24,328.0,ERVISS
ARI incidence,BG,2025-06-08,2025-W23,359.0,ERVISS
ARI incidence,BG,2025-06-01,2025-W22,382.6,ERVISS
ARI incidence,BG,2025-05-25,2025-W21,412.6,ERVISS
ARI incidence,BG,2025-05-18,2025-W20,461.7,ERVISS
ARI incidence,BG,2025-05-11,2025-W19,418.4,ERVISS
ARI incidence,BG,2025-05-04,2025-W18,452.7,ERVISS
ARI incidence,BG,2025-04-27,2025-W17,492.0,ERVISS
ARI incidence,BG,2025-04-20,2025-W16,477.0,ERVISS
ARI incidence,BG,2025-04-13,2025-W15,589.2,ERVISS
ARI incidence,BG,2025-04-06,2025-W14,556.6,ERVISS
ARI incidence,BG,2025-03-30,2025-W13,765.1,ERVISS
ARI incidence,BG,2025-03-23,2025-W12,831.7,ERVISS
ARI incidence,BG,2025-03-16,2025-W11,953.2,ERVISS
ARI incidence,BG,2025-03-09,2025-W10,874.4,ERVISS
ARI incidence,BG,2025-03-02,2025-W09,1125.9,ERVISS
ARI incidence,BG,2025-02-23,2025-W08,1167.2,ERVISS
ARI incidence,BG,2025-02-16,2025-W07,1185.6,ERVISS
ARI incidence,BG,2025-02-09,2025-W06,1339.0,ERVISS
ARI incidence,BG,2025-02-02,2025-W05,1774.8,ERVISS
ARI incidence,BG,2025-01-26,2025-W04,1910.1,ERVISS
ARI incidence,BG,2025-01-19,2025-W03,1558.5,ERVISS
ARI incidence,BG,2025-01-12,2025-W02,1187.3,ERVISS
ARI incidence,BG,2025-01-05,2025-W01,773.2,ERVISS
ARI incidence,BG,2024-12-29,2024-W52,455.4,ERVISS
ARI incidence,BG,2024-12-22,2024-W51,1036.8,ERVISS
ARI incidence,BG,2024-12-15,2024-W50,1016.6,ERVISS
ARI incidence,BG,2024-12-08,2024-W49,974.2,ERVISS
ARI incidence,BG,2024-12-01,2024-W48,962.1,ERVISS
ARI incidence,BG,2024-11-24,2024-W47,1011.8,ERVISS
ARI incidence,BG,2024-11-17,2024-W46,988.0,ERVISS
ARI incidence,BG,2024-11-10,2024-W45,956.9,ERVISS
ARI incidence,BG,2024-11-03,2024-W44,585.9,ERVISS
ARI incidence,BG,2024-10-27,2024-W43,651.7,ERVISS
ARI incidence,BG,2024-10-20,2024-W42,659.6,ERVISS
ARI incidence,BG,2024-10-13,2024-W41,656.9,ERVISS
ARI incidence,BG,2024-10-06,2024-W40,644.8,ERVISS
ARI incidence,BG,2024-09-29,2024-W39,524.3,ERVISS
ARI incidence,BG,2024-09-22,2024-W38,436.5,ERVISS
ARI incidence,BG,2024-09-15,2024-W37,389.0,ERVISS
ARI incidence,BG,2024-09-08,2024-W36,313.8,ERVISS
ARI incidence,BG,2024-09-01,2024-W35,363.7,ERVISS
ARI incidence,BG,2024-08-25,2024-W34,366.5,ERVISS
ARI incidence,BG,2024-08-18,2024-W33,334.9,ERVISS
ARI incidence,BG,2024-08-11,2024-W32,320.6,ERVISS
ARI incidence,BG,2024-08-04,2024-W31,315.4,ERVISS
ARI incidence,BG,2024-07-28,2024-W30,308.5,ERVISS
ARI incidence,BG,2024-07-21,2024-W29,317.1,ERVISS
ARI incidence,BG,2024-07-14,2024-W28,322.5,ERVISS
ARI incidence,BG,2024-07-07,2024-W27,348.1,ERVISS
ARI incidence,BG,2024-06-30,2024-W26,360.1,ERVISS
ARI incidence,BG,2024-06-23,2024-W25,368.4,ERVISS
ARI incidence,BG,2024-06-16,2024-W24,436.7,ERVISS
ARI incidence,BG,2024-06-09,2024-W23,450.2,ERVISS
ARI incidence,BG,2024-06-02,2024-W22,501.2,ERVISS
ARI incidence,BG,2024-05-19,2024-W20,566.9,ERVISS
ARI incidence,BG,2024-05-12,2024-W19,511.7,ERVISS
ARI incidence,BG,2024-05-05,2024-W18,395.3,ERVISS
ARI incidence,BG,2024-04-28,2024-W17,630.5,ERVISS
ARI incidence,BG,2024-04-21,2024-W16,586.1,ERVISS
ARI incidence,BG,2024-04-14,2024-W15,574.8,ERVISS
ARI incidence,BG,2024-03-31,2024-W13,757.2,ERVISS
ARI incidence,BG,2024-03-24,2024-W12,863.8,ERVISS
ARI incidence,BG,2024-03-17,2024-W11,906.4,ERVISS
ARI incidence,BG,2024-03-10,2024-W10,724.8,ERVISS
ARI incidence,BG,2024-03-03,2024-W09,909.7,ERVISS
ARI incidence,BG,2024-02-25,2024-W08,989.3,ERVISS
ARI incidence,BG,2024-02-18,2024-W07,1141.7,ERVISS
ARI incidence,BG,2024-02-11,2024-W06,1322.2,ERVISS
ARI incidence,BG,2024-02-04,2024-W05,1771.5,ERVISS
ARI incidence,BG,2024-01-28,2024-W04,1972.0,ERVISS
ARI incidence,BG,2024-01-21,2024-W03,1593.8,ERVISS
ARI incidence,BG,2024-01-14,2024-W02,1488.9,ERVISS
ARI incidence,BG,2024-01-07,2024-W01,1178.5,ERVISS
ARI incidence,BG,2023-12-31,2023-W52,498.2,ERVISS
ARI incidence,BG,2023-12-24,2023-W51,1033.2,ERVISS
ARI incidence,BG,2023-12-17,2023-W50,1212.9,ERVISS
ARI incidence,BG,2023-12-10,2023-W49,1030.0,ERVISS
ARI incidence,BG,2023-12-03,2023-W48,996.8,ERVISS
ARI incidence,BG,2023-11-26,2023-W47,1011.8,ERVISS
ARI incidence,BG,2023-11-19,2023-W46,874.1,ERVISS
ARI incidence,BG,2023-11-12,2023-W45,852.4,ERVISS
ARI incidence,BG,2023-11-05,2023-W44,748.1,ERVISS
ARI incidence,BG,2023-10-29,2023-W43,581.4,ERVISS
ARI incidence,BG,2023-10-22,2023-W42,625.5,ERVISS
ARI incidence,BG,2023-10-15,2023-W41,632.2,ERVISS
ARI incidence,BG,2023-10-08,2023-W40,512.9,ERVISS
ARI incidence,BG,2023-10-01,2023-W39,429.4,ERVISS
ARI incidence,BG,2023-09-24,2023-W38,310.5,ERVISS
ARI incidence,BG,2023-09-17,2023-W37,252.9,ERVISS
ARI incidence,BG,2023-09-10,2023-W36,219.9,ERVISS
ARI incidence,BG,2023-09-03,2023-W35,215.7,ERVISS
ARI incidence,BG,2023-08-27,2023-W34,210.6,ERVISS
ARI incidence,BG,2023-08-20,2023-W33,204.4,ERVISS
ARI incidence,BG,2023-08-13,2023-W32,197.2,ERVISS
ARI incidence,BG,2023-08-06,2023-W31,187.5,ERVISS
ARI incidence,BG,2023-07-30,2023-W30,169.0,ERVISS
ARI incidence,BG,2023-07-23,2023-W29,191.5,ERVISS
ARI incidence,BG,2023-07-16,2023-W28,208.2,ERVISS
ARI incidence,BG,2023-07-09,2023-W27,234.4,ERVISS
ARI incidence,BG,2023-07-02,2023-W26,274.9,ERVISS
ARI incidence,BG,2023-06-25,2023-W25,293.6,ERVISS
ARI incidence,BG,2023-06-18,2023-W24,311.6,ERVISS
ARI incidence,BG,2023-06-11,2023-W23,376.9,ERVISS
ARI incidence,BG,2023-06-04,2023-W22,349.3,ERVISS
ARI incidence,BG,2023-05-28,2023-W21,470.8,ERVISS
ARI incidence,BG,2023-05-21,2023-W20,437.9,ERVISS
ARI incidence,BG,2023-05-14,2023-W19,421.7,ERVISS
ARI incidence,BG,2023-05-07,2023-W18,461.1,ERVISS
ARI incidence,BG,2023-04-30,2023-W17,509.8,ERVISS
ARI incidence,BG,2023-04-23,2023-W16,498.3,ERVISS
ARI incidence,BG,2023-04-16,2023-W15,463.2,ERVISS
ARI incidence,BG,2023-04-09,2023-W14,552.8,ERVISS
ARI incidence,BG,2023-04-02,2023-W13,934.5,ERVISS
ARI incidence,BG,2023-03-26,2023-W12,1005.6,ERVISS
ARI incidence,BG,2023-03-19,2023-W11,1044.4,ERVISS
ARI incidence,BG,2023-03-12,2023-W10,1101.5,ERVISS
ARI incidence,BG,2023-03-05,2023-W09,969.9,ERVISS
ARI incidence,BG,2023-02-19,2023-W07,1288.1,ERVISS
ARI incidence,BG,2023-02-12,2023-W06,1309.0,ERVISS
ARI incidence,BG,2023-02-05,2023-W05,1324.0,ERVISS
ARI incidence,BG,2023-01-29,2023-W04,1634.2,ERVISS
ARI incidence,BG,2023-01-22,2023-W03,1994.5,ERVISS
ARI incidence,BG,2023-01-15,2023-W02,1870.4,ERVISS
ARI incidence,BG,2023-01-08,2023-W01,1244.4,ERVISS
ARI incidence,BG,2023-01-01,2022-W52,533.2,ERVISS
ARI incidence,BG,2022-12-25,2022-W51,954.1,ERVISS
ARI incidence,BG,2022-12-18,2022-W50,1209.3,ERVISS
ARI incidence,BG,2022-12-11,2022-W49,1171.0,ERVISS
ARI incidence,BG,2022-12-04,2022-W48,1172.6,ERVISS
ARI incidence,BG,2022-11-27,2022-W47,1187.1,ERVISS
ARI incidence,BG,2022-11-20,2022-W46,1118.2,ERVISS
ARI incidence,BG,2022-11-13,2022-W45,988.5,ERVISS
ARI incidence,BG,2022-11-06,2022-W44,794.6,ERVISS
ARI incidence,BG,2022-10-30,2022-W43,511.3,ERVISS
ARI incidence,BG,2022-10-23,2022-W42,592.4,ERVISS
ARI incidence,BG,2022-10-16,2022-W41,580.6,ERVISS
ARI incidence,BG,2022-10-09,2022-W40,540.5,ERVISS
ARI incidence,BG,2022-10-02,2022-W39,495.2,ERVISS
ARI incidence,BG,2022-09-25,2022-W38,298.8,ERVISS
ARI incidence,BG,2022-09-18,2022-W37,344.1,ERVISS
ARI incidence,BG,2022-09-11,2022-W36,268.8,ERVISS
ARI incidence,BG,2022-09-04,2022-W35,272.3,ERVISS
ARI incidence,BG,2022-08-28,2022-W34,269.7,ERVISS
ARI incidence,BG,2022-08-21,2022-W33,286.7,ERVISS
ARI incidence,BG,2022-08-14,2022-W32,298.0,ERVISS
ARI incidence,BG,2022-08-07,2022-W31,315.4,ERVISS
ARI incidence,BG,2022-07-31,2022-W30,328.6,ERVISS
ARI incidence,BG,2022-07-24,2022-W29,300.9,ERVISS
ARI incidence,BG,2022-07-17,2022-W28,296.0,ERVISS
ARI incidence,BG,2022-07-10,2022-W27,327.8,ERVISS
ARI incidence,BG,2022-07-03,2022-W26,285.7,ERVISS
ARI incidence,BG,2022-06-26,2022-W25,288.8,ERVISS
ARI incidence,BG,2022-06-19,2022-W24,268.7,ERVISS
ARI incidence,BG,2022-06-12,2022-W23,279.9,ERVISS
ARI incidence,BG,2022-06-05,2022-W22,268.3,ERVISS
ARI incidence,BG,2022-05-29,2022-W21,279.3,ERVISS
ARI incidence,BG,2022-05-22,2022-W20,332.5,ERVISS
ARI incidence,BG,2022-05-15,2022-W19,375.2,ERVISS
ARI incidence,BG,2022-05-08,2022-W18,314.4,ERVISS
ARI incidence,BG,2022-05-01,2022-W17,395.2,ERVISS
ARI incidence,BG,2022-04-24,2022-W16,434.1,ERVISS
ARI incidence,BG,2022-04-17,2022-W15,646.5,ERVISS
ARI incidence,BG,2022-04-10,2022-W14,695.0,ERVISS
ARI incidence,BG,2022-04-03,2022-W13,1107.8,ERVISS
ARI incidence,BG,2022-03-27,2022-W12,1104.8,ERVISS
ARI incidence,BG,2022-03-20,2022-W11,1283.6,ERVISS
ARI incidence,BG,2022-03-13,2022-W10,767.4,ERVISS
ARI incidence,BG,2022-03-06,2022-W09,639.2,ERVISS
ARI incidence,BG,2022-02-27,2022-W08,736.9,ERVISS
ARI incidence,BG,2022-02-20,2022-W07,865.6,ERVISS
ARI incidence,BG,2022-02-13,2022-W06,954.1,ERVISS
ARI incidence,BG,2022-02-06,2022-W05,859.4,ERVISS
ARI incidence,BG,2022-01-23,2022-W03,1159.6,ERVISS
ARI incidence,BG,2022-01-16,2022-W02,990.7,ERVISS
ARI incidence,BG,2022-01-09,2022-W01,871.8,ERVISS
ARI incidence,BG,2022-01-02,2021-W52,423.9,ERVISS
ARI incidence,BG,2021-12-26,2021-W51,717.7,ERVISS
ARI incidence,BG,2021-12-19,2021-W50,889.7,ERVISS
ARI incidence,BG,2021-12-12,2021-W49,868.9,ERVISS
ARI incidence,BG,2021-12-05,2021-W48,969.2,ERVISS
ARI incidence,BG,2021-11-28,2021-W47,829.0,ERVISS
ARI incidence,BG,2021-11-21,2021-W46,651.0,ERVISS
ARI incidence,BG,2021-11-14,2021-W45,838.8,ERVISS
ARI incidence,BG,2021-11-07,2021-W44,920.3,ERVISS
ARI incidence,BG,2021-10-31,2021-W43,60.4,ERVISS
ARI incidence,BG,2021-10-24,2021-W42,704.0,ERVISS
ARI incidence,BG,2021-10-17,2021-W41,758.4,ERVISS
ARI incidence,BG,2021-10-10,2021-W40,729.0,ERVISS
ARI incidence,BG,2021-10-03,2021-W39,542.9,ERVISS
ARI incidence,BG,2021-09-26,2021-W38,374.1,ERVISS
ARI incidence,BG,2021-09-19,2021-W37,359.1,ERVISS
ARI incidence,BG,2021-09-12,2021-W36,260.9,ERVISS
ARI incidence,BG,2021-09-05,2021-W35,288.2,ERVISS
ARI incidence,BG,2021-08-29,2021-W34,344.5,ERVISS
ARI incidence,BG,2021-08-22,2021-W33,296.3,ERVISS
ARI incidence,BG,2021-08-15,2021-W32,278.9,ERVISS
ARI incidence,BG,2021-08-08,2021-W31,214.0,ERVISS
ARI incidence,BG,2021-08-01,2021-W30,232.8,ERVISS
ARI incidence,BG,2021-07-25,2021-W29,220.9,ERVISS
ARI incidence,BG,2021-07-18,2021-W28,225.9,ERVISS
ARI incidence,BG,2021-07-11,2021-W27,223.5,ERVISS
ARI incidence,BG,2021-07-04,2021-W26,281.1,ERVISS
ARI incidence,BG,2021-06-27,2021-W25,488.8,ERVISS
ARI incidence,CY,2025-06-22,2025-W25,5200.0,ERVISS
ARI incidence,CY,2025-06-15,2025-W24,6000.0,ERVISS
ARI incidence,CY,2025-06-08,2025-W23,6500.0,ERVISS
ARI incidence,CY,2025-06-01,2025-W22,6700.0,ERVISS
ARI incidence,CY,2025-05-25,2025-W21,10700.0,ERVISS
